Type,Trans Date,Post Date,Description,Amount
SALE,03/31/2015,04/02/2015,"7-ELEVEN 36229",-12.06
SALE,04/17/2015,04/19/2015,"CVS/PHARMACY #03634",-36.48
SALE,06/07/2015,06/08/2015,"SHEETZ        00002964",-8.03
SALE,03/27/2015,03/29/2015,"MARRIOTT 337U4 SOUTH BCH",-8.56
SALE,04/08/2015,04/10/2015,"SHELL OIL 57424307908",-4.12
SALE,05/12/2015,05/13/2015,"ZAGARA'S MARKETPLA",-69.95
SALE,03/21/2015,03/22/2015,"TRAVEL INSURANCE POLICY",-8.00
SALE,05/12/2015,05/13/2015,"CHIPOTLE 0079",-21.12
SALE,03/10/2015,03/11/2015,"CVS/PHARMACY #04359",-5.08
RETURN,05/30/2015,05/31/2015,"MACY'S EAST #578",30.24
SALE,04/02/2015,04/03/2015,"USA*Priority Vending",-1.60
SALE,03/28/2015,03/30/2015,"DECO BIKE",-4.28
SALE,03/09/2015,03/10/2015,"AIRPAIR INC.",-70.00
SALE,05/10/2015,05/10/2015,"1-800-FLOWERS.COM,INC.",-72.39
SALE,04/29/2015,04/30/2015,"UDEMY.COM",-24.00
PAYMENT,05/04/2015,05/04/2015,"Payment Thank You - Web",1500.00
SALE,05/30/2015,06/01/2015,"VICTORIA'S SECRET 0073",-29.16
SALE,05/16/2015,05/17/2015,"CHIPOTLE 0079",-10.37
SALE,05/21/2015,05/22/2015,"STARBUCKS #02265 CLEVELAN",-8.45
SALE,04/01/2015,04/02/2015,"CLEV HTS - UBILL UTILITIE",-37.72
SALE,04/24/2015,04/26/2015,"WHOLEFDS MDT #10465",-31.49
SALE,05/27/2015,05/28/2015,"LAURA LEE SALON INC",-220.36
SALE,05/04/2015,05/06/2015,"CEDAR LEE THEATRE",-12.00
SALE,03/09/2015,03/10/2015,"SQ *RESTRANT PHOENIX COFF",-2.30
PAYMENT,05/16/2015,05/17/2015,"Payment Thank You - Web",3169.91
SALE,04/14/2015,04/15/2015,"SQ *RESTRANT ON THE RISE",-13.00
SALE,05/05/2015,05/06/2015,"STARBUCKS #02303 BEACHWOO",-2.10
SALE,04/10/2015,04/12/2015,"CVS/PHARMACY #07687",-2.78
SALE,04/21/2015,04/22/2015,"WHOLEFDS MDT #10465",-87.19
SALE,04/02/2015,04/03/2015,"CVS/PHARMACY #03634",-15.07
SALE,05/20/2015,05/22/2015,"AMAZING WOK II",-6.75
SALE,03/12/2015,03/12/2015,"CVS/PHARMACY #03634",-10.78
SALE,04/10/2015,04/12/2015,"TOMMY'S RESTAURANT",-31.66
SALE,06/07/2015,06/09/2015,"NC Soccer Shop",-14.95
SALE,04/24/2015,04/27/2015,"ANATOLIA CAFE",-17.00
SALE,04/28/2015,04/29/2015,"PINSAS        51275881",-7.00
SALE,03/30/2015,03/30/2015,"UBER TECHNOLOGIES INC",-3.12
SALE,03/29/2015,03/30/2015,"UBER",-62.32
SALE,05/06/2015,05/08/2015,"LUBE STOP - 12",-43.19
SALE,03/13/2015,03/15/2015,"WHOLEFDS CHG 10309",-29.16
SALE,04/08/2015,04/10/2015,"SHELL OIL 57424307908",-29.10
SALE,04/18/2015,04/19/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,04/17/2015,04/19/2015,"LOPEZ",-93.76
SALE,04/01/2015,04/03/2015,"LIFE ALIVE CAMBRIDGE",-20.15
SALE,04/13/2015,04/15/2015,"MICRO CENTER MAYFIELD HTS",-19.74
SALE,04/25/2015,04/26/2015,"USA*Priority Vending",-2.60
SALE,03/16/2015,03/17/2015,"TRADER JOE'S #676  QPS",-54.36
SALE,04/11/2015,04/12/2015,"CVS/PHARMACY #03338",-1.99
SALE,04/18/2015,04/19/2015,"CHIPOTLE 0079",-16.89
SALE,05/17/2015,05/18/2015,"FAIRMOUNT MARTINI & WI",-42.10
SALE,04/01/2015,04/02/2015,"JOHNSON STRING INSTRUMENT",-268.74
SALE,03/16/2015,03/18/2015,"CEDAR LEE THEATRE",-7.00
SALE,06/02/2015,06/04/2015,"GPC RESTAURANTE LA YOLA",-139.35
SALE,04/29/2015,05/01/2015,"SHELL OIL 57424307908",-24.82
SALE,05/30/2015,05/31/2015,"PETSMART INC 2313",-68.67
SALE,03/09/2015,03/10/2015,"WHOLEFDS CTR 10199",-216.91
SALE,05/26/2015,05/27/2015,"STARBUCKS #02265 CLEVELAN",-8.40
SALE,04/19/2015,04/21/2015,"MAYFIELD",-28.08
SALE,04/14/2015,04/15/2015,"NETFLIX.COM",-8.63
SALE,03/19/2015,03/22/2015,"STONE OVEN BAKERY",-4.50
SALE,04/27/2015,04/28/2015,"TAZA",-42.83
SALE,03/16/2015,03/17/2015,"LULULEMON ETON CHAGRIN",-5.39
